GermplasmId,Fill column,Flower,Pub_Lt_to_T,Pub_1
A06-711010,x,P,G,G
A06-712002,x,W,G,G
A06-812022,x,W,G,G
A08-151024,x,W,G,G
A08-151031,x,H,T,T
A08-248043,x,W,G,G
A09-754003,x,P,T,T
A10-456040,x,P,G,G
A10-555001,x,W,T,T
A10-556015,x,W,T,Lt
A10-653019,x,W,T,T
Apex,x,P,T,T
AR07-175064,x,P,G,G
AR08-186008,x,P,H,H
AR08-286003,x,P,T,T
AR09-192008,x,H,G,G
AR09-192018,x,H,G,G
AR09-192019,x,H,G,G
AR10-106008,x,W,H,H
AR10-206075,x,H,T,Lt
AR11-114002,x,P,T,T
AR11-114057,x,W,G,G
AR11-214001,x,P,T,T
AR11-214015,x,P,G,G
AR11-214022,x,W,T,T
AR12-128008,x,P,G,G
AR12-128013,x,P,G,G
AR12-128023,x,P,G,G
AR12-128024,x,P,G,G
AR12-128045,x,P,T,T
AR12-128047,x,P,G,G
AR12-128061,x,P,H,H
AR12-128065,x,P,T,T
AR12-128076,x,W,T,T
AR12-128091,x,P,H,H
AR12-128102,x,P,T,T
AR12-228007,x,P,T,T
AR12-228022,x,P,G,G
AR12-228047,x,P,G,G
AR12-228068,x,P,T,T
AR13-132037,x,P,G,G
AR13-132078,x,P,T,T
AR13-231017,x,W,T,T
AR13-232001,x,P,T,T
AR13-232008,x,P,T,T
AR13-232011,x,P,T,T
AR13-232049,x,P,G,G
AR13-232073,x,P,G,G
AR13-232106,x,P,H,H
AR13-332001,x,W,G,G
AR13-332013,x,P,T,T
AR13-332017,x,P,G,G
AR13-332023,x,P,T,T
AR13-332029,x,P,H,H
AR13-332030,x,P,T,Lt
AR13-332047,x,P,T,Lt
AR13-332048,x,P,T,T
AR13-332056,x,P,G,G
AR13-332057,x,P,G,G
AR13-332062,x,P,T,T
AR13-332085,x,P,T,T
AR13-332087,x,H,G,G
AR14-248009,x,H,G,G
AR14-248020,x,P,G,G
AR15-159002,x,P,T,T
AR15-159009,x,P,T,Lt
AR15-259014,x,W,G,G
AR15-259021,x,W,T,T
AR15-259036,x,P,T,T
AR15-359004,x,W,T,T
AR15-359008,x,H,T,T
AR15-359011,x,H,T,T
AR15-359028,x,W,T,T
AR15-359042,x,H,G,G
AW10-653019,x,W,T,T
AW11-103013,x,P,G,G
AW11-203034,x,W,G,G
AW11-203039,x,W,G,G
AW12-801031,x,P,G,G
AW12-801045,x,P,G,G
Cavalier,x,H,T,T
CL04-10534,x,W,T,Lt
CL04-1323141,x,W,T,Lt
CL05-20251,x,H,NA,NA
CL05-3314,x,P,T,Lt
CL05-46330,x,H,H,H
CL05-61413,x,P,T,Lt
CR144155,x,W,T,T
CR145192,x,W,T,T
CR145524,x,P,T,T
CR145764,x,W,T,T
CR145789,x,P,T,T
CR146116,x,P,T,T
CR147814,x,P,T,T
CR147839,x,W,T,T
DSN11-02178,x,W,T,T
DSN11-03004,x,W,G,G
DSN11-03023,x,W,T,T
DSN11-03148,x,W,G,G
DSN11-03174,x,W,G,G
DSN11-04129,x,W,G,G
DSN11-06152,x,W,G,G
DSN11-10057,x,P,T,T
DSN11-12073,x,W,NA,NA
DSN11-12119,x,P,G,G
DSN11-27183,x,W,G,G
E05012,x,W,T,T
E05030,x,W,T,T
E05053,x,P,T,T
E05087,x,H,T,T
E05090,x,P,T,T
E05094,x,P,T,T
E05098,x,W,G,G
E05128,x,P,G,G
E05240-T,x,P,G,G
E06006,x,P,T,T
E06161,x,H,G,G
E06164,x,P,G,G
E06165,x,P,T,T
E06167,x,P,G,G
E06240,x,P,G,G
E06243,x,P,T,T
E06246,x,P,G,G
E06372,x,P,T,T
E06380,x,H,G,G
E06381,x,H,G,G
E07021,x,P,G,G
E07038,x,P,G,G
E07040,x,P,H,H
E07048,x,P,G,G
E07051,x,P,G,G
E07075,x,P,G,G
E07078,x,P,G,G
E07080,x,P,T,T
E07087,x,P,T,T
E07090,x,P,G,G
E08052,x,P,T,T
E08058,x,P,G,G
E08130,x,P,T,T
E08135,x,P,T,T
E08142,x,P,T,T
E08200,x,P,T,T
E08206,x,P,T,T
E08210,x,P,T,T
E08235,x,P,G,G
E08239,x,P,T,T
E08242,x,P,T,T
E09014,x,P,H,H
E09089,x,P,G,G
