GermplasmId,Flower,Pubescence
A06-711010,P,G
A06-712002,W,G
A06-812022,W,G
A08-151024,W,G
A08-151031,H,T
A08-248043,W,G
A09-754003,P,T
A10-456040,P,G
A10-555001,W,T
A10-556015,W,T
A10-653019,W,T
Apex,P,T
AR07-175064,P,G
AR08-186008,P,H
AR08-286003,P,T
AR09-192008,H,G
AR09-192018,H,G
AR09-192019,H,G
AR10-106008,W,H
AR10-206075,H,T
AR11-114002,P,T
AR11-114057,W,G
AR11-214001,P,T
AR11-214015,P,G
AR11-214022,W,T
AR12-128008,P,G
AR12-128013,P,G
AR12-128023,P,G
AR12-128024,P,G
AR12-128045,P,T
AR12-128047,P,G
AR12-128061,P,H
AR12-128065,P,T
AR12-128076,W,T
AR12-128091,P,H
AR12-128102,P,T
AR12-228007,P,T
AR12-228022,P,G
AR12-228047,P,G
AR12-228068,P,T
AR13-132037,P,G
AR13-132078,P,T
AR13-231017,W,T
AR13-232001,P,T
AR13-232008,P,T
AR13-232011,P,T
AR13-232049,P,G
AR13-232073,P,G
AR13-232106,P,H
AR13-332001,W,G
AR13-332013,P,T
AR13-332017,P,G
AR13-332023,P,T
AR13-332029,P,H
AR13-332030,P,T
AR13-332047,P,T
AR13-332048,P,T
AR13-332056,P,G
AR13-332057,P,G
AR13-332062,P,T
AR13-332085,P,T
AR13-332087,H,G
AR14-248009,H,G
AR14-248020,P,G
AR15-159002,P,T
AR15-159009,P,T
AR15-259014,W,G
AR15-259021,W,T
AR15-259036,P,T
AR15-359004,W,T
AR15-359008,H,T
AR15-359011,H,T
AR15-359028,W,T
AR15-359042,H,G
AW10-653019,W,T
AW11-103013,P,G
AW11-203034,W,G
AW11-203039,W,G
AW12-801031,P,G
AW12-801045,P,G
Cavalier,H,T
CL04-10534,W,T
CL04-1323141,W,T
CL05-20251,H,NA
CL05-3314,P,T
CL05-46330,H,H
CL05-61413,P,T
CR144155,W,T
CR145192,W,T
CR145524,P,T
CR145764,W,T
CR145789,P,T
CR146116,P,T
CR147814,P,T
CR147839,W,T
DSN11-02178,W,T
DSN11-03004,W,G
DSN11-03023,W,T
DSN11-03148,W,G
DSN11-03174,W,G
DSN11-04129,W,G
DSN11-06152,W,G
DSN11-10057,P,T
DSN11-12073,W,NA
DSN11-12119,P,G
DSN11-27183,W,G
E05012,W,T
E05030,W,T
E05053,P,T
E05087,H,T
E05090,P,T
E05094,P,T
E05098,W,G
E05128,P,G
E05240-T,P,G
E06006,P,T
E06161,H,G
E06164,P,G
E06165,P,T
E06167,P,G
E06240,P,G
E06243,P,T
E06246,P,G
E06372,P,T
E06380,H,G
E06381,H,G
E07021,P,G
E07038,P,G
E07040,P,H
E07048,P,G
E07051,P,G
E07075,P,G
E07078,P,G
E07080,P,T
E07087,P,T
E07090,P,G
E08052,P,T
E08058,P,G
E08130,P,T
E08135,P,T
E08142,P,T
E08200,P,T
E08206,P,T
E08210,P,T
E08235,P,G
E08239,P,T
E08242,P,T
E09014,P,H
E09089,P,G
E09090,P,G
E09107,P,T
E09109,P,T
E09110,P,T
E10174,W,G
E10254LL,P,T
E10265LL,W,T
E11095,P,T
E11399,P,T
E11401,P,T
E11431,P,T
E12020,P,T
E12034,P,T
E12042,W,NA
E12084,W,T
E13100,W,G
E13126,P,T
E13132,P,T
E13139,W,T
E13212,P,G
E13268,P,NA
E13298,P,NA
E13304,W,T
E13345,P,NA
E13364,P,G
E13369,H,G
E13370,NA,NA
E13901,W,T
E13902,H,G
E13903,H,H
E14077,P,NA
E14141,W,T
E14143,H,T
E14148,P,G
E14208,P,T
E14273,P,G
E14309,W,G
E14314,W,G
E14703,W,G
E15097,P,G
E15325,P,G
E15337,P,G
E15338,P,G
E15339,W,G
E15347,W,G
E15349,P,G
E15350,H,G
E15351,W,G
E15390,P,G
HC01-289,P,T
HM09-W053,W,T
HM09-W054,P,G
HM09-W084,W,NA
HM09-W174,P,G
HM10-A012,W,T
HM10-W081,P,G
HM10-W083,W,T
HM10-W314,H,H
HM10-W346,W,T
HM11-G011,P,G
HM11-G016,P,G
HM11-W192,P,T
HM11-W193,P,G
HM12-N067,W,T
HM12-N069,P,T
HM12-O040,P,T
HM12-O068,W,T
HM12-W060,W,G
HM12-W069,W,T
HM12-W171,P,G
HM12-W180,P,T
HM12-W300,P,H
HM13-R061,P,T
HM13-R079,P,T
HM13-R084,P,G
HM13-S072,P,G
HM13-T053,W,T
HM13-W040,W,H
HM13-W045,P,H
HM13-W073,H,G
HM13-W091,W,G
HM13-W098,W,T
HM13-W128,P,T
HM13-W154,P,G
HM13-W155,P,G
HM13-W156,P,NA
HM14-C055,W,G
HR09-706,W,G
HR09-720,W,G
HR09-728,W,G
HR09-730,W,G
HR09-734,W,G
HR10-3325,P,G
HR10-3329,P,G
HR10-3342,W,NA
HR10-3349,W,G
HR10-3487,W,T
HR13-102381,H,T
HR13-102735,P,G
HS5-3417,H,T
HS6-3705,P,T
HS6-3890,W,T
HS6-3966,W,T
HS6-3967,W,G
HS6-3973R,W,T
HS7-4314,W,T
HS7W-190,P,T
HS7W-29,P,G
HS7W-82,W,T
HS8-3317,W,G
HS8-3463,P,G
HS8-3672,W,T
HS8W-106,W,T
HS8W-30,W,T
IA1008,W,G
IA1021,P,T
IA1022,NA,NA
IA2065,P,T
IA2068,W,G
IA2073,W,NA
IA2094,P,T
IA2102,W,G
IA2109,W,T
IA3023,NA,NA
IA3024,P,NA
IA3048,W,G
IA4005,W,T
JTN-4114,W,G
JTN-4116,P,G
JTN-4214,P,G
K03-2788RR,W,T
K03-2791RR,W,T
K03-2801RR,W,T
K03-2814RR,W,T
K03-2820RR,W,T
K03-2839,W,T
K03-2897,P,T
K03-3496,P,G
K03-4142,P,T
K03-4146,P,T
K03-4150,P,T
K03-4156,P,T
K03-4157,P,T
K04-2203RR,P,G
K04-2347RR,P,G
K04-2460RR,W,T
K04-2686RR,W,G
K04-2999RR,W,T
K04-3072RR,P,T
K04-3687RR,W,T
K04-3703RR,W,T
K04-3720RR,P,H
K04-3737RR,P,T
K04-3789RR,W,T
K05-2278RR,W,T
K05-4624,W,G
K12-1464,P,G
K12-1546,W,T
K12-1575,P,T
K12-1770,W,H
K12-1781,W,G
K12-2094,H,T
K12-2236,H,G
K12-2315,W,G
K12-2333,W,NA
K12-2344,P,G
K13-1156,W,T
K13-1231,W,T
K13-1234,W,T
K13-1289,W,G
K13-1290,W,T
K13-1519,P,T
K13-1523,P,T
K13-1620,W,T
K13-1627,W,H
K14-1269,P,T
K14-1347,W,G
K14-1357,W,T
K14-1358,P,T
K14-1387,P,G
K14-1401,W,T
K14-1468,W,G
K14-1486,P,T
K14-1493,P,T
K15-1008,W,T
K15-1039,P,T
K15-1043,P,T
K15-1278,P,T
K15-1279,P,T
K15-1283,P,T
K15-1294,P,T
K15-1307,P,T
K15-1310,P,T
Lambert,P,G
LD00-1938,P,T
LD00-2817P,P,G
LD00-3309,P,T
LD00-4970,P,G
LD01-11154,P,T
LD01-5907,P,G
LD01-7323,P,G
LD01-9035,P,T
LD02-4485,P,G
LD02-5025,W,T
LD02-5124W,W,T
LD02-5320,H,T
LD02-6553,P,T
LD02-7222P,P,T
LD02-9050,P,T
LD03-10504,W,T
LD04-12754,P,T
LD04-13265,P,NA
LD04-8782,W,T
LD05-1540,W,T
LD05-16413,P,G
LD05-16657,P,T
LD05-16874,P,T
LD06-2009,W,T
LD06-7609,W,T
LD06-7620,P,T
LD06-8970,W,G
LD07-3395bf,W,G
LD07-3419,W,G
LD07-3823,P,T
LD07-4477,P,G
LD07-4530,W,G
LD08-12428a,P,G
LD08-12435a,P,G
LD08-1592,P,G
LD08-2355,W,G
LD08-2370,P,G
LD08-2388,W,T
LD08-3243,P,G
LD08-4202,W,H
LD08-5579,W,G
LD08-6068a,P,G
LD08-6972,P,G
LD08-6982,P,G
LD08-8622,P,G
LD08-RST5-10,P,T
LD09-10220,P,G
LD09-16058,P,G
LD09-17071R2,P,G
LD09-17123R2,W,T
LD09-17140R2,P,T
LD09-17213R2,W,T
LD09-17220R2,P,T
LD09-30015,P,G
LD09-30208,P,G
LD09-30224,P,G
LD09-42,W,G
LD10-10150,P,G
LD10-10198,P,G
LD10-10213,P,G
LD10-10219,P,NA
LD10-10226,P,G
LD10-11740,P,G
LD10-14323,P,G
LD10-2477,P,G
LD10-30004,W,T
LD10-30019,P,T
LD10-30036,W,T
LD10-5213a,P,G
LD10-5330a,P,G
LD10-5587a,W,T
LD10-5903a,P,G
LD10-776,W,T
LD10-9110,P,T
LD10-9168,P,T
LD10-9200,P,T
LD10-9409,P,T
LD10-9423,W,T
LD10-9483,H,H
LD10-9763,P,G
LD11-10069,W,NA
LD11-11299,H,NA
LD11-1249,P,T
LD11-13342Ra,W,T
LD11-13802R2,P,T
LD11-13814R,W,T
LD11-13834R,W,T
LD11-13948R,P,T
LD11-14102R,W,NA
LD11-14160R,W,T
LD11-14283R,W,T
LD11-14287R,P,T
LD11-14335R,P,T
LD11-14362R,W,T
LD11-1882,W,G
LD11-2170,P,NA
LD11-3619,W,T
LD11-643,P,G
LD11-7311,H,G
LD11-9790,P,NA
LD12-10534,W,NA
LD12-15064R1a,P,G
LD12-15129R1a,NA,NA
LD12-15156R1a,P,NA
LD12-15224R2a,P,T
LD12-15227R2a,P,T
LD12-15229R2a,P,T
LD12-15246R2a,P,G
LD12-15248R2a,P,T
LD12-15505R1,P,T
LD12-15609R2,P,NA
LD12-15753R2,P,NA
LD12-15808R1a,P,G
LD12-15811R1a,P,G
LD12-15840R1a,P,G
LD12-300,W,G
LD12-3866,H,G
LD13-13228R1a,P,G
LD13-13334R1a,NA,G
LD13-13478R1a,P,T
LD13-14071R2,P,G
LD13-14107R2,P,T
LD13-14327R2,W,G
LD13-14460R1,P,T
LD13-14525R2,NA,NA
LD13-4902a,P,G
LD13-6692,W,G
LD13-759,W,T
LD13-767,W,T
LD14-1167,H,T
LD14-1429,P,T
LD14-2880,W,T
LD14-3090,W,G
LD14-3216,H,T
LD14-3218,P,T
LD14-3340,P,T
LD14-3702,P,T
