Year_Test,Year,Test,Test_Type,Test_Year,Location,Location2,Trait,Meta_data_type,Value
1989_PTI,1989,PTI,Preliminary,PTI_1989,CorwithIA,Corwith_IA,YieldBuA,C.V.,9.5
2003_PTIIIRR,2003,PTIIIRR,Preliminary,PTIIIRR_2003,KingdomCityMO,KingdomCity_MO,YieldBuA,L.S.D.,1.7
1989_PTI,1989,PTI,Preliminary,PTI_1989,LambertonMN,Lamberton_MN,YieldBuA,RowSp.,10
1989_PTI,1989,PTI,Preliminary,PTI_1989,RoyalIA,Royal_IA,YieldBuA,C.V.,6.4
2012_UTIII,2012,UTIII,Uniform,UTIII_2012,OttawaKS,Ottawa_KS,YieldBuA,L.S.D.,1.7
1989_PTI,1989,PTI,Preliminary,PTI_1989,WasecaMN,Waseca_MN,YieldBuA,RowSp.,10
1989_PTI,1989,PTI,Preliminary,PTI_1989,SaginawCountyMI,SaginawCounty_MI,YieldBuA,C.V.,19
2000_UTIV,2000,UTIV,Uniform,UTIV_2000,OttawaKS,Ottawa_KS,YieldBuA,L.S.D.,1.8
1989_PTI,1989,PTI,Preliminary,PTI_1989,LambertonMN,Lamberton_MN,YieldBuA,C.V.,10.9
1989_UTII,1989,UTII,Uniform,UTII_1989,StateCollegePA,StateCollege_PA,YieldBuA,L.S.D.,1.9
1989_PTI,1989,PTI,Preliminary,PTI_1989,WasecaMN,Waseca_MN,YieldBuA,C.V.,7.1
1999_PTIIA,1999,PTIIA,Preliminary,PTIIA_1999,SiouxRapidsIA,SiouxRapids_IA,YieldBuA,L.S.D.,1.9
1989_PTI,1989,PTI,Preliminary,PTI_1989,BrookingsSD,Brookings_SD,YieldBuA,C.V.,7.1
1999_PTIIIA,1999,PTIIIA,Preliminary,PTIIIA_1999,AmesIA,Ames_IA,YieldBuA,L.S.D.,1.9
2008_PTI,2008,PTI,Preliminary,PTI_2008,AmesIA,Ames_IA,YieldBuA,Reps,1
1989_PTI,1989,PTI,Preliminary,PTI_1989,ArlingtonWI,Arlington_WI,YieldBuA,C.V.,9.5
2019_UTI,2019,UTI,Uniform,UTI_2019,StHyacintheQUE,StHyacinthe_QUE,YieldBuA,L.S.D.,1.9
2008_PTI,2008,PTI,Preliminary,PTI_2008,CurlewIA,Curlew_IA,YieldBuA,Reps,1
2008_UTI,2008,UTI,Uniform,UTI_2008,AmesIA,Ames_IA,YieldBuA,Reps,1
2009_PTI,2009,PTI,Preliminary,PTI_2009,AmesIA,Ames_IA,YieldBuA,Reps,1
2009_PTI,2009,PTI,Preliminary,PTI_2009,CharlesCityIA,CharlesCity_IA,YieldBuA,Reps,1
2020_PTIIA,2020,PTIIA,Preliminary,PTIIA_2020,UrbanaIL,Urbana_IL,YieldBuA,Reps,1
1989_PTI,1989,PTI,Preliminary,PTI_1989,CorwithIA,Corwith_IA,YieldBuA,Rows/Plot,4
1989_PTI,1989,PTI,Preliminary,PTI_1989,RoyalIA,Royal_IA,YieldBuA,Rows/Plot,4
1989_PTI,1989,PTI,Preliminary,PTI_1989,SaginawCountyMI,SaginawCounty_MI,YieldBuA,Rows/Plot,4
1989_PTI,1989,PTI,Preliminary,PTI_1989,LambertonMN,Lamberton_MN,YieldBuA,Rows/Plot,4
1989_PTI,1989,PTI,Preliminary,PTI_1989,WasecaMN,Waseca_MN,YieldBuA,Rows/Plot,4
1989_PTI,1989,PTI,Preliminary,PTI_1989,BrookingsSD,Brookings_SD,YieldBuA,Rows/Plot,4
1989_PTI,1989,PTI,Preliminary,PTI_1989,ArlingtonWI,Arlington_WI,YieldBuA,Rows/Plot,4
1989_PTI,1989,PTI,Preliminary,PTI_1989,SaginawCountyMI,SaginawCounty_MI,YieldBuA,RowSp.,20
1989_PTI,1989,PTI,Preliminary,PTI_1989,CorwithIA,Corwith_IA,YieldBuA,RowSp.,27
1989_PTI,1989,PTI,Preliminary,PTI_1989,RoyalIA,Royal_IA,YieldBuA,RowSp.,27
1989_PTI,1989,PTI,Preliminary,PTI_1989,BrookingsSD,Brookings_SD,YieldBuA,RowSp.,30
1989_PTI,1989,PTI,Preliminary,PTI_1989,ArlingtonWI,Arlington_WI,YieldBuA,RowSp.,30
1989_PTI,1989,PTI,Preliminary,PTI_1989,CorwithIA,Corwith_IA,YieldBuA,Reps,2
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,AmesIA,Ames_IA,YieldBuA,C.V.,7
1999_PTI,1999,PTI,Preliminary,PTI_1999,AmesIA,Ames_IA,YieldBuA,L.S.D.,2.1
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,MarshalltownIA,Marshalltown_IA,YieldBuA,C.V.,3.7
1999_PTIIA,1999,PTIIA,Preliminary,PTIIA_1999,AmesIA,Ames_IA,YieldBuA,L.S.D.,2.1
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,UrbanaIL,Urbana_IL,YieldBuA,C.V.,7.3
2002_UT00,2002,UT00,Uniform,UT00_2002,PortagevilleLoamMO,PortagevilleLoam_MO,YieldBuA,L.S.D.,2.1
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,LafayetteIN,Lafayette_IN,YieldBuA,C.V.,8.8
2003_UTII,2003,UTII,Uniform,UTII_2003,KeiserAR,Keiser_AR,YieldBuA,L.S.D.,2.1
1989_PTIIA,1989,PTIIA,Preliminary,PTIIA_1989,BrittonMI,Britton_MI,YieldBuA,C.V.,7.7
2003_UTIV,2003,UTIV,Uniform,UTIV_2003,KeiserAR,Keiser_AR,YieldBuA,L.S.D.,2.1
