"GermplasmId_2","GermplasmId","MG","Year"
"A91_501002","A91_501002","MGI",1993
"A91_501023","A91_501023","MGI",1993
"A91_501055","A91_501055","MGII",1993
"A91_607023_MGI","A91_607023","MGI",1993
"A91_607032","A91_607032","MGII",1993
"A91_607053","A91_607053","MGII",1993
"A91_701035","A91_701035","MGIII",1993
"A91_702022","A91_702022","MGIII",1993
"A92_525034","A92_525034","MGII",1993
"A92_528006","A92_528006","MGII",1993
"A92_625016","A92_625016","MGII",1993
"A92_627008","A92_627008","MGII",1993
"A92_627030","A92_627030","MGII",1993
"A92_627035","A92_627035","MGIII",1993
"A92_627047","A92_627047","MGII",1993
"A92_627049","A92_627049","MGII",1993
"A92_627056","A92_627056","MGIII",1993
"A92_632035","A92_632035","MGIII",1993
"A92_633051","A92_633051","MGIII",1993
"A92_633054","A92_633054","MGIII",1993
"A92_634055","A92_634055","MGIII",1993
"A92_634056","A92_634056","MGII",1993
"A92_725035","A92_725035","MGIII",1993
"A92_727016","A92_727016","MGIII",1993
"A92_727017","A92_727017","MGIII",1993
"A92_727025","A92_727025","MGII",1993
"A92_727026","A92_727026","MGIII",1993
"A92_731033","A92_731033","MGII",1993
"AC90_115043","AC90_115043","MGI",1993
"ACHarmony","ACHarmony","MG00",1993
"Agassiz_MG0","Agassiz","MG0",1993
"Agassiz_MG00","Agassiz","MG00",1993
"Archer","Archer","MGI",1993
"Athow","Athow","MGIII",1993
"Ayr","Ayr","MGI",1993
"C1842","C1842","MGIII",1993
"C1866","C1866","MGIII",1993
"C1867","C1867","MGII",1993
"C1868","C1868","MGIII",1993
"C1869","C1869","MGIV",1993
"C1870","C1870","MGIII",1993
"C1871","C1871","MGIII",1993
"C1872","C1872","MGIII",1993
"C1873","C1873","MGIII",1993
"C1874","C1874","MGIII",1993
"C1876","C1876","MGIII",1993
"C1877","C1877","MGIV",1993
"C1878","C1878","MGIV",1993
"C1879","C1879","MGIV",1993
"C1880","C1880","MGIV",1993
"C1881","C1881","MGIV",1993
"C1882","C1882","MGIV",1993
"C1883","C1883","MGIV",1993
"C1884","C1884","MGIV",1993
"C1885","C1885","MGIV",1993
"CF461","CF461","MGIV",1993
"Charleston","Charleston","MGIII",1993
"Cisne","Cisne","MGIV",1993
"Conrad","Conrad","MGII",1993
"Conrad94","Conrad94","MGII",1993
"Croton3.9_MGIV","Croton3.9","MGIV",1993
"Cutler71","Cutler71","MGIV",1993
"Defiance","Defiance","MGIII",1993
"Delsoy4210","Delsoy4210","MGIV",1993
"E92001","E92001","MGII",1993
"E92009","E92009","MGII",1993
"E92039","E92039","MGIII",1993
"E92067","E92067","MGII",1993
"E92072","E92072","MGII",1993
"E92077","E92077","MGIII",1993
"Faribault","Faribault","MGI",1993
